FID	IID	pc1	pc2	pc3	pc4	pc5	pc6	pc7	pc8	pc9	pc10	wolbachia	stringsAsFactors
line_229	line_229	0.0188396009314909	0.00358758840264429	0.00707090273944963	0.0230469661116287	-0.0310050041766667	0.0178808503951495	-0.0110423635256525	0.033275509098534	0.0079277441200199	0.0409994558375063	0	FALSE
line_233	line_233	0.0253136624286707	-0.161634713976644	-0.108374874678006	0.0409822240073046	-0.000393063583605008	0.00321220841078091	-0.0102306923818969	-0.0132412200245753	0.00198015129705549	0.0205580515927757	0	FALSE
line_235	line_235	0.0262931972393867	0.0300218438488655	-0.0172852854100185	0.00903990359205725	-0.0169337019745052	0.00233826180914583	-0.0112485252521389	0.00970542318208507	0.00147104787520464	-0.0131675169416373	0	FALSE
line_237	line_237	0.0195786677590251	-0.0129751673126144	-0.00807434002971113	0.0160290763317332	-0.00370273224876559	-0.0280517237302447	0.00854455909932553	0.000837259189261188	9.03022280307753e-05	0.0150733842780513	1	FALSE
line_239	line_239	-0.204901878431797	0.0547026958106958	0.00557026000228295	0.0086897115072209	0.0039642309408796	0.0160950834473253	0.0618560603051517	-0.00722995642756389	-0.00212207619755549	0.0456323954928235	0	FALSE
line_256	line_256	0.0223774263694262	0.0173625961825487	0.0191610072575143	0.0321534128445689	-0.00669341177285353	0.00584663690784383	-0.0211500507535448	-0.0263476427282496	0.0233175170583933	0.0586464893800579	1	FALSE
line_26	line_26	0.0254380511198266	-0.110963145598928	-0.142348019443268	0.0145865661215447	-0.0127443329151667	0.0089974481673932	0.00122269304213019	-0.0289951618165727	0.0134787477183666	-0.0109740076519697	0	FALSE
line_28	line_28	-0.24286400623004	0.0852739832482884	0.0206316045214958	0.0282081927120844	-0.0531810344070365	-0.111721073841896	0.105800189902655	-0.0172836242157858	0.0765154744132287	0.053640178386829	0	FALSE
line_280	line_280	0.0145548591193244	0.015289789258686	-0.00324876361425363	0.0343797315652688	-0.0380987856746125	0.0270165707046365	-0.0312096321450888	0.0397311664752219	-0.0130825255521293	0.0441268477901448	1	FALSE
line_287	line_287	0.0222407502282108	0.0267663936129046	-0.00372485400974655	0.00935901590485566	0.0118028521055607	0.0201476313170429	-0.00658418983608081	-0.0134382129215676	0.0117540730619512	0.00848081649238515	1	FALSE
line_301	line_301	0.00734393685593007	-0.00330408812671055	-0.0220826626154773	0.0298892502861295	-0.0198089021410835	0.00796225556063551	-0.0287383206916772	0.0204799701160901	0.019381647374726	0.00853266646640121	0	FALSE
line_303	line_303	0.0171317474028443	0.0342325028064501	0.0111210728226096	0.0645323438934518	-0.109611597164257	-0.332117555095185	-0.0237660625788608	0.0993395791763511	-0.0407719511760879	-0.050082009969	0	FALSE
line_304	line_304	0.0275856968719233	0.0866990545058384	0.0127797202718046	0.105454929568838	-0.188218653244898	-0.556322674370917	-0.00251421844103396	0.114162384775602	-0.0341403767998786	-0.0864132551366023	1	FALSE
line_306	line_306	0.0215402766538881	0.0512188672045945	0.011730612857429	0.08500304933887	-0.148827809571486	-0.448645923340188	-0.03812113623197	0.135634147037421	-0.054356899007955	-0.0728188719273094	1	FALSE
line_307	line_307	0.018103593294293	0.00870179675878928	0.01830946031693	0.0143047343556074	-0.040495873461967	-0.00517355131579543	-0.0648983477545957	-0.00512993890463413	-0.0169893398146428	0.0338783873226387	0	FALSE
line_309	line_309	0.0176577142145022	0.0331899329933536	0.00181508873436828	-0.00775921318953001	-0.00692761975660606	0.0164233536718279	0.0248137291157542	-0.00349020020297652	-0.00909323433379689	0.0340311091782274	0	FALSE
line_310	line_310	0.0323037352784901	0.0284593466476109	-0.0142196529091978	0.000644825549603648	-0.00353711746100969	0.0308796127008204	-0.0340131194001256	-0.0054234728719559	0.00174869983542515	0.0279297777653165	1	FALSE
line_313	line_313	0.00963766936910952	-0.136769450115537	-0.179891326930294	0.0548367036941885	0.0149610565425454	0.00672286591402255	-0.03057009105591	0.00248647146675363	0.00554260463983899	-0.0491019609350615	0	FALSE
line_315	line_315	0.0164222348580341	0.016481984229304	0.000127340601659864	0.0148126457431581	-0.0107942278423552	0.0174407372539005	0.00139304044956658	0.0134476923630472	-0.011542957951218	0.0561959596042763	0	FALSE
line_317	line_317	-0.0275241090692148	0.0323527648767925	0.00478665245545691	0.00105288893286565	0.0171300508815613	0.0235506770754177	0.00892446400583787	0.041627340384569	0.0480077902899975	0.0254949653845694	1	FALSE
